club,diff_overall,predicted,score_raw,score
OGC Nice,55.8,50.990221248755816,60.609778751244185,100.0
RB Leipzig,49.0,38.00073049551702,59.99926950448297,98.99703462886565
Olympique Lyonnais,45.8,40.66141036477404,50.93858963522596,84.11184133161615
Atalanta,48.6,47.028437783261474,50.17156221673853,82.85174258039386
1. FSV Mainz 05,40.0,29.912744890086504,50.0872551099135,82.7132399956507
RCD Espanyol,49.6,50.96922157572645,48.23077842427355,79.66335690560243
TSG 1899 Hoffenheim,39.8,32.94355528691602,46.656444713083964,77.07698789758285
Tottenham Hotspur,42.8,40.0930889618392,45.50691103816081,75.18849484851413
FC Nantes,38.6,32.0808655225561,45.11913447744389,74.55144231540359
Nîmes Olympique,40.2,35.99614316703575,44.40385683296425,73.3763598543836
SC Paderborn 07,38.0,32.23593905779887,43.76406094220113,72.32528138762216
LOSC Lille,39.0,35.484532930731326,42.515467069268674,70.27404887344603
Borussia Mönchengladbach,31.0,22.173836249755063,39.82616375024493,65.85596984226561
Dijon FCO,34.8,30.606209967868985,38.99379003213102,64.48851796575516
RC Celta,40.8,43.156236240835355,38.44376375916464,63.58491608269452
RC Strasbourg Alsace,42.0,45.831336285498345,38.168663714501655,63.132972365448246
FC Girondins de Bordeaux,31.2,24.26206956545355,38.13793043454645,63.082482687036375
Sassuolo,32.4,27.014711304229433,37.78528869577057,62.50315083533201
Deportivo Alavés,37.8,39.17790315813094,36.42209684186906,60.26365285732611
Amiens SC,30.333333333333332,24.73419212876612,35.932474537900546,59.459284670569545
Real Sociedad,37.2,38.74984494355211,35.650155056447886,58.99548061682951
Lazio,36.4,37.170361328328944,35.62963867167106,58.961775601580044
Eintracht Frankfurt,29.2,22.891234650046876,35.50876534995312,58.76320079436752
Real Madrid,39.6,43.84717896799613,35.352821032003874,58.50701016079726
Bournemouth,32.8,30.27111832299413,35.32888167700587,58.467681773557146
SV Werder Bremen,28.8,22.392398405081735,35.20760159491827,58.26843872656402
